Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
189,Argentinian,Gender Stud.. PG Taught,PG Taught,0,0,0,*,*,*,*,*,0,*,*,*,9,5,0
190,Argentinian,Geography .. PG Taught,PG Taught,6,*,0,12,5,*,*,*,0,7,*,0,6,*,*
191,Argentinian,Government UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
192,Argentinian,Government UG Degree PG Taught,PG Taught,14,5,*,7,*,0,*,*,0,*,0,0,*,*,0
193,Argentinian,Health Policy PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
194,Argentinian,International.. PG Taught,PG Taught,*,*,*,6,*,0,6,*,0,6,*,0,12,6,*
195,Argentinian,International UG Degree History PG Taught,UG Degree,*,*,0,0,0,0,0,0,0,*,0,0,*,*,0
196,Argentinian,International UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
197,Argentinian,International UG Degree Relations PG Taught,UG Degree,*,0,0,*,0,0,*,*,*,*,0,0,0,0,0
198,Argentinian,International UG Degree Relations PG Taught,PG Taught,*,*,*,*,*,0,5,*,*,*,0,0,*,*,0
199,Argentinian,Language C.. UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
200,Argentinian,Law School UG Degree PG Taught,UG Degree,*,*,0,*,0,0,*,0,0,*,0,0,*,0,0
201,Argentinian,Law School UG Degree PG Taught,PG Taught,17,7,*,18,7,*,15,10,*,15,9,*,13,10,*
202,Argentinian,Management UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
203,Argentinian,Management UG Degree PG Taught,PG Taught,8,*,*,8,*,*,13,8,*,9,7,*,*,*,*
204,Argentinian,Mathematics PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
205,Argentinian,Media and C.. PG Taught,PG Taught,7,*,*,7,*,*,9,*,*,*,*,0,*,0,0
206,Argentinian,Methodology PG Taught,PG Taught,7,*,*,7,*,0,*,*,0,*,*,*,*,*,0
207,Argentinian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
208,Argentinian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
209,Argentinian,Psychologic.. PG Taught,PG Taught,5,*,*,9,*,0,*,0,0,*,0,0,5,0,0
210,Argentinian,School of Pu.. PG Taught,PG Taught,11,6,*,14,9,*,5,*,*,*,*,0,7,5,*
211,Argentinian,Social Policy UG Degree PG Taught,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
212,Argentinian,Social Policy UG Degree PG Taught,PG Taught,8,*,*,6,*,*,*,*,*,*,*,0,*,*,0
213,Argentinian,Sociology UG Degree PG Taught,UG Degree,*,*,*,0,0,0,*,*,*,0,0,0,0,0,0
214,Argentinian,Sociology UG Degree PG Taught,PG Taught,6,*,0,6,*,*,*,*,*,7,*,*,*,*,0
215,Argentinian,Statistics PG Taught,PG Taught,*,0,0,*,*,*,*,0,0,*,*,0,0,0,0
216,Armenian,Accounting UG Degree PG Taught,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
217,Armenian,Accounting UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Armenian,Anthropology UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
219,Armenian,Anthropology UG Degree PG Taught,PG Taught,*,*,0,0,0,0,0,0,0,*,*,0,0,0,0
220,Armenian,Economics UG Degree PG Taught,UG Degree,*,*,0,*,0,0,*,0,0,10,*,*,*,0,0
221,Armenian,Economics UG Degree PG Taught,PG Taught,*,*,*,5,*,0,0,0,0,0,0,0,0,0,0
222,Armenian,European In.. PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Armenian,Finance UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
224,Armenian,Finance UG Degree PG Taught,PG Taught,*,*,0,5,*,0,*,0,0,0,0,0,*,0,0
225,Armenian,Gender Stud.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,*,*,0
226,Armenian,Geography .. PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Armenian,Government UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
228,Armenian,Government UG Degree PG Taught,PG Taught,6,*,*,*,0,0,*,0,0,*,*,0,*,*,*
229,Armenian,Health Policy PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
230,Armenian,International.. PG Taught,PG Taught,7,*,*,*,*,0,7,5,*,*,*,*,*,*,0
231,Armenian,International.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
232,Armenian,International.. PG Taught,PG Taught,6,*,*,*,*,0,0,0,0,*,0,0,0,0,0
233,Armenian,Law School UG Degree PG Taught,UG Degree,*,*,0,*,0,0,0,0,0,*,*,0,*,0,0
234,Armenian,Law School UG Degree PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,*,*,0,0,0,0
235,Armenian,Management UG Degree PG Taught,UG Degree,*,*,0,0,0,0,0,0,0,*,0,0,0,0,0
